Date,Open,High,Low,Close,Volume,Market Cap
Feb-16-2021,49128.61,52514.96,49088.70,52127.62,142714894908.71,948273280355.44
Feb-15-2021,47927.99,50344.02,47187.62,49261.05,128596282134.79,909963253204.20
Feb-14-2021,48643.60,48884.84,46167.98,47981.98,121933582464.32,890979166011.12
Feb-13-2021,47123.82,49566.06,47123.82,48673.33,144739442865.16,904294295184.94
Feb-12-2021,47299.70,48089.52,46402.37,47056.77,143039618394.04,879475823410.59
Feb-11-2021,47991.94,48654.38,46459.81,47622.57,137346856098.89,885659635122.48
Feb-10-2021,44809.54,48523.10,44049.82,47680.42,125776147417.46,860969534626.38
Feb-09-2021,46504.80,47281.53,43864.28,44866.50,129490884290.82,852080990171.57
Feb-08-2021,46533.34,47893.55,45164.67,46511.52,183198175979.18,868140615964.04
Feb-07-2021,38857.12,46225.50,38044.11,46225.50,118716929235.24,766031018480.38
Feb-06-2021,39260.74,39654.67,37389.63,38888.64,102991144866.26,720053161966.95
Feb-05-2021,38300.04,40858.55,38288.99,39191.51,106251967992.13,742154277235.80
Feb-04-2021,36977.78,38280.06,36634.29,37945.96,100182647822.41,699542082662.31
Feb-03-2021,37659.04,38734.58,36321.73,36938.03,95050564959.05,698357377544.65
Feb-02-2021,35476.14,37565.36,35476.14,37551.93,89352747406.27,680092225536.13
Feb-01-2021,33536.48,35943.34,33536.48,35507.13,86758683273.67,645559209205.84
Jan-31-2021,33082.84,34600.00,32402.29,33513.44,89774569869.48,627169519579.20
Jan-30-2021,34275.23,34275.23,32213.32,33136.14,79168365015.20,622243238404.28
Jan-29-2021,34309.77,34823.47,33037.99,34333.11,144056482145.47,633604068982.44
Jan-28-2021,33332.49,38320.83,32011.68,34241.19,152370872355.52,651330512374.76
Jan-27-2021,30400.93,33755.55,29932.91,33117.57,102591907666.95,590626513517.47
Jan-26-2021,32503.86,32503.86,29329.89,30305.34,90755198572.16,578889895940.61
Jan-25-2021,32305.90,32773.47,31013.71,32577.77,94141056517.76,594982368471.04
Jan-24-2021,32224.51,34818.22,32130.66,32272.78,85932342667.29,620636318880.91
Jan-23-2021,32081.02,32941.58,31122.25,32261.74,71915450466.46,599252216356.29
Jan-22-2021,32976.47,33293.43,31464.57,32045.84,92468003469.68,601514283280.08
Jan-21-2021,30838.20,33800.96,28997.51,32836.14,139223374167.48,592458335565.28
Jan-20-2021,35477.52,35477.52,30202.76,30892.80,104277748205.80,613606162666.36
Jan-19-2021,36002.59,36371.09,33593.67,35636.11,98186705206.41,653840590324.39
Jan-18-2021,36632.32,37701.58,36163.74,36177.49,94696323432.84,685127879868.85
Jan-17-2021,35822.53,37365.98,34840.49,36714.84,85952054615.28,670424015901.18
Jan-16-2021,36061.52,36682.76,34095.17,35786.42,92863643157.16,663270945739.49
Jan-15-2021,36833.61,37910.76,35624.48,36178.18,123693873048.22,685154441525.95
Jan-14-2021,39280.30,39645.50,34599.97,36678.95,117305372507.91,697436710488.26
Jan-13-2021,37394.12,40000.01,36882.03,39304.69,114931563480.28,716637812011.46
Jan-12-2021,34060.13,37626.13,32445.50,37359.33,126174618899.73,645088905820.24
Jan-11-2021,35549.97,36524.89,32957.85,33949.40,176864618865.56,648089950366.68
Jan-10-2021,38223.37,38223.37,30592.26,35569.72,182855100854.81,638126812425.59
Jan-09-2021,40083.82,41255.98,35933.66,38299.02,107609376316.17,737715778475.42
Jan-08-2021,40577.81,41291.47,38819.67,40129.00,134582898528.89,749903824715.66
Jan-07-2021,39437.44,41849.91,36711.86,40703.29,172295440554.83,739499799350.03
Jan-06-2021,36814.68,40164.16,36345.64,39493.13,141292953594.38,706528659351.83
Jan-05-2021,33895.70,36904.22,33315.07,36904.22,120556816942.47,646919963464.82
Jan-04-2021,32023.29,34359.99,30087.20,33965.16,125426476003.27,598928102301.85
Jan-03-2021,32949.40,33553.45,29066.67,31973.83,130918256520.56,591803523640.43
Jan-02-2021,32148.05,34717.66,32057.58,32877.61,124349523093.66,621795048370.95
Jan-01-2021,29329.70,33158.61,29014.30,32093.26,70104243266.33,570431197310.09
Dec-31-2020,28938.90,29560.03,28718.62,29300.19,64558591251.66,542990405376.44
Dec-30-2020,28863.19,29272.58,27986.65,28977.96,79271345825.66,536314969327.74
Dec-29-2020,27375.35,28938.02,27375.35,28810.02,73712221377.47,523104839357.07
Dec-28-2020,27070.02,27392.54,26077.27,27392.54,68162303669.41,496187947758.58
Dec-27-2020,26269.01,27431.90,26111.96,27147.37,99495188799.21,501662962255.18
Dec-26-2020,26463.43,28331.09,26011.66,26326.48,102567647652.80,503085319304.99
Dec-25-2020,24700.99,26698.37,24519.99,26446.97,68174322705.22,469618701988.90
Dec-24-2020,23719.24,24715.08,23463.63,24652.04,57592757106.52,446375556422.29
Dec-23-2020,23248.20,23749.01,22751.93,23733.03,74435058818.58,431381467833.64
Dec-22-2020,23816.04,24011.07,22789.24,23261.79,72103119537.02,437386596217.99
Dec-21-2020,22743.91,23801.64,22446.75,23801.64,83963380723.31,428962781517.22
Dec-20-2020,23488.42,24065.52,22119.30,22882.16,85145371413.06,432068558158.60
Dec-19-2020,23859.67,24249.96,23101.10,23516.40,71034858155.10,438084395865.35
Dec-18-2020,23131.04,24077.49,22830.90,23844.57,63655496241.65,433408582772.58
Dec-17-2020,22796.25,23239.70,22397.10,23113.99,117018623816.44,424807678680.47
Dec-16-2020,21349.66,23656.65,21265.80,22823.46,119966786315.10,419778522334.20
Dec-15-2020,19424.01,21395.55,19306.68,21367.10,48227478063.06,372499190037.12
Dec-14-2020,19273.92,19540.78,19086.03,19434.07,37207256823.11,359262989996.68
Dec-13-2020,19181.40,19346.86,19021.83,19270.75,35594491140.73,355900072299.12
Dec-12-2020,18795.24,19393.31,18719.96,19169.34,36129560660.68,354908722065.12
Dec-11-2020,18017.35,18905.26,18017.35,18804.79,37864610631.46,342883193664.76
Dec-10-2020,18236.78,18236.78,17604.05,18062.12,51456006610.40,333126430004.28
Dec-09-2020,18541.85,18541.85,17939.98,18261.88,42051607215.35,339862101398.05
Dec-08-2020,18328.89,18624.63,17656.94,18569.99,51894238233.17,339169288875.32
Dec-07-2020,19169.82,19268.38,18279.49,18325.05,36072867923.54,351716110113.33
Dec-06-2020,19363.53,19403.80,18940.87,19190.04,33514897152.72,356357579476.04
Dec-05-2020,19153.42,19374.85,18891.57,19336.69,31248872995.05,355303487880.76
Dec-04-2020,18660.49,19167.43,18560.03,19127.66,43493402326.59,352394017893.13
Dec-03-2020,19430.85,19510.64,18643.37,18737.19,42711852976.52,354653480586.12
Dec-02-2020,19217.92,19587.15,18909.03,19427.95,45460478689.59,357548224634.57
Dec-01-2020,18756.51,19330.51,18356.08,19201.28,64736169956.76,351583352343.10
Nov-30-2020,19692.23,19877.37,18338.56,18855.04,68651048241.23,357418673134.34
Nov-29-2020,18181.62,19802.68,18181.62,19721.87,47907519457.73,350768118966.72
Nov-28-2020,17725.69,18309.85,17549.52,18162.12,39169112135.10,333623131271.32
Nov-27-2020,17133.44,17846.94,16877.45,17707.72,40948231069.95,320959715771.88
Nov-26-2020,17157.38,17419.96,16487.30,17076.84,66090936294.66,315076279273.93
Nov-25-2020,18736.05,18911.15,16290.95,17072.81,76574550473.95,322683382857.05
Nov-24-2020,19151.45,19461.57,18547.98,18770.20,66020446070.15,353357152750.16
Nov-23-2020,18383.26,19412.49,18042.08,19121.51,65582487334.33,349606772372.26
Nov-22-2020,18400.42,18750.76,18032.68,18374.45,56013957456.03,341944154690.56
Nov-21-2020,18673.99,18740.90,17648.90,18413.53,51842917681.29,341719648443.33
Nov-20-2020,18665.47,18956.34,18478.42,18709.06,51342425635.77,346810483009.72
Nov-19-2020,17799.98,18798.61,17763.99,18641.29,51247577103.93,339782497230.52
Nov-18-2020,17769.08,18139.04,17395.28,17806.28,61088362075.89,330660347306.20
Nov-17-2020,17664.95,18475.04,17395.81,17827.84,72012568910.56,331419792599.44
Nov-16-2020,16703.98,17829.76,16577.53,17683.76,45999622881.28,316502527418.31
Nov-15-2020,15948.49,16842.98,15884.88,16725.11,32816346805.62,303249393769.39
Nov-14-2020,16068.10,16131.80,15796.54,15961.35,31319340855.49,296296699173.91
Nov-13-2020,16320.05,16320.05,15725.31,16083.59,36181426857.16,296890514838.03
Nov-12-2020,16297.19,16463.29,15984.12,16316.14,46113488949.94,301643276630.32
Nov-11-2020,15691.61,16299.94,15492.64,16279.27,42629399358.64,294819304889.72
Nov-10-2020,15297.96,15949.50,15282.01,15687.48,34076621281.51,288682936493.89
Nov-09-2020,15313.69,15429.01,15104.41,15280.16,42038978766.01,283781645786.37
Nov-08-2020,15478.31,15798.20,14836.54,15326.16,39301152286.42,284840712675.20
Nov-07-2020,14815.05,15613.43,14748.26,15499.08,44191246290.48,281457720322.22
Nov-06-2020,15568.62,15741.75,14448.63,14821.98,43966023319.82,284108062641.76
Nov-05-2020,15589.38,15922.33,15204.99,15547.05,64505570471.97,288455228523.34
Nov-04-2020,14140.35,15710.76,14100.78,15558.53,45894350397.81,272633809887.84
Nov-03-2020,14017.05,14212.51,13589.97,14132.96,36787608742.72,257381109205.72
Nov-02-2020,13556.45,14034.32,13304.12,13973.25,31957453140.12,252079847197.63
Nov-01-2020,13760.89,13826.96,13269.51,13576.97,28341039633.37,251772697765.86
Oct-31-2020,13794.55,13881.87,13629.06,13735.01,27500088064.67,254930532220.36
Oct-30-2020,13554.96,13984.75,13431.72,13795.53,32985934324.84,254384806361.33
Oct-29-2020,13456.61,13661.96,13151.42,13568.84,35824994060.34,248695600092.56
Oct-28-2020,13276.35,13629.99,12987.73,13443.53,35824326414.73,246797158758.76
Oct-27-2020,13639.75,13837.31,12960.03,13275.48,40460863642.23,249011575352.04
Oct-26-2020,13057.49,13775.68,13057.49,13651.54,32537705770.88,247385893170.58
Oct-25-2020,13022.02,13215.25,12821.65,13065.54,23955461477.27,241914487368.11
Oct-24-2020,13115.29,13327.98,12915.83,13020.81,23616907117.36,241630988925.64
Oct-23-2020,12929.78,13139.42,12869.96,13117.17,22616597577.99,241080144140.21
Oct-22-2020,12964.76,13014.06,12740.01,12929.02,32656688931.65,239378934757.29
Oct-21-2020,12799.95,13162.65,12698.50,12958.54,44415617058.03,239244404696.42
Oct-20-2020,11908.74,13190.09,11891.81,12808.80,38524738667.92,230398925866.81
Oct-19-2020,11751.37,12004.21,11696.29,11910.24,26904815394.83,219245674076.91
Oct-18-2020,11500.03,11799.99,11420.52,11748.38,18200393175.52,214382343089.30
Oct-17-2020,11358.13,11490.02,11349.94,11490.02,15237087835.41,211547198368.24
Oct-16-2020,11316.37,11386.52,11278.31,11368.48,18609745832.27,209973844655.38
Oct-15-2020,11498.95,11539.22,11234.82,11312.66,25895236932.84,210346030915.74
Oct-14-2020,11417.11,11573.55,11291.77,11492.62,23046051336.08,211240903137.58
Oct-13-2020,11422.02,11544.58,11292.51,11426.37,22671063126.89,211064738669.41
Oct-12-2020,11531.36,11542.29,11324.20,11423.48,27767799953.71,211938062475.14
Oct-11-2020,11369.01,11696.48,11245.11,11544.14,21028934723.03,211837518482.53
Oct-10-2020,11294.71,11429.45,11279.86,11376.44,18400993816.98,210284916214.82
Oct-09-2020,11050.68,11463.74,11050.68,11294.99,23905936788.75,209734341242.70
Oct-08-2020,10920.20,11101.82,10841.66,11066.19,23417400425.57,203184007851.06
Oct-07-2020,10670.22,10931.02,10554.55,10898.55,18775481110.70,198619252012.85
Oct-06-2020,10602.40,10679.03,10567.97,10665.25,20562068864.54,196530345918.35
